price,address,bds,ba,sqft,image
"$775,000","1932 E 38th St, Brooklyn, NY 11234",3,2,"2,064",https://photos.zillowstatic.com/fp/fba0bbdb70314dd478426798142fcd4e-p_e.jpg
"$299,888","224-42 Horace Harding Expwy UNIT 626, Bayside, NY 11364",2,1,700,https://photos.zillowstatic.com/fp/abce0822fdbb7b96549f6078a3df5d5a-p_e.jpg
"$399,985","16210 Powells Cove Blvd APT 3C, Flushing, NY 11357",3,1,"1,200",https://photos.zillowstatic.com/fp/6ab054a62fc797f2150d5e5b6997bafb-p_e.jpg
"$310,000","45 Tudor City Pl APT 1508, New York, NY 10017",Studio,1,350,https://photos.zillowstatic.com/fp/86b81e0a73404762ec397393190553bc-p_e.jpg
"$490,000","240 E 24th St APT 4E, New York, NY 10010",1,1,600,https://photos.zillowstatic.com/fp/872dee3013ab56c633a2c21a1cdbb644-p_e.jpg
"$525,000","23-35 Bell Blvd APT 6H, Bayside, NY 11360",3,2,"1,250",https://photos.zillowstatic.com/fp/05a7fbbe243d1ebfb49df6b17fc65337-p_e.jpg
"$899,000","1379 W 6th St APT 6A, Brooklyn, NY 11204",3,2,"1,233",https://photos.zillowstatic.com/fp/dcb30e28c05bc9853949132a65a81770-p_e.jpg
"$1,498,637","727 Dean St APT 1R, Brooklyn, NY 11238",2,2,"1,200",https://photos.zillowstatic.com/fp/904d34f5bd763986a030146b30939a53-p_e.jpg
"$689,000","3 Williams Ct, Far Rockaway, NY 11691",4,3,"1,968",https://photos.zillowstatic.com/fp/2919a9549d1dceb7229ff9d993c79838-p_e.jpg
"$879,000","6614 254th St, Flushing, NY 11362",3,2,"2,604","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$675,000","186 Prospect Park W APT D1, Brooklyn, NY 11215",1,1,--,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$5,400,000","6 W 20th St FLOOR 5, New York, NY 10011",5,2,"5,500","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$999,999","42 Hopping Ave, Staten Island, NY 10307",4,3,"3,300","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$760,000","2018 E 35th St, Brooklyn, NY 11234",3,2,"1,008","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
"$369,000","3016 Seagirt Ave, Queens, NY 11691",3,3,"1,317","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
